DIAGNOSIS,PATHOLOGY GEATURES,Similar Disease 1,Similar Disease 2,Similar Disease 3,Similar Disease 4
Lupus Profundus,Lobular panniculitis with lymphocytic nodules and admixed plasma cells. Hyaline necrosis of fat lobules. Calcification may be seen. May or may not have associated changes of lupus in dermis and at the DEJ.  Lymphoma can look similar.,Erythema Nodosum,Erythema Induratum,"Subcutaneous Panniculitis-Like T Cell Lymphoma, Alpha-beta Type",Infective Panniculitis
Lupus Vulgaris,"Tuberculoid granulomas, usually without caseation. AFB bacilli usually not found.",Sarcoidosis,Granulomatous Rosacea,Crohn's Disease,Atypical Mycobacterial Infection
Lyme Disease,Superficial and deep perivascular lymphocytic infiltrate with plasma cells and occasional eosinophils. Spirochetes may be seen in dermis and/or subcutaneous tissue.,Secondary Syphilis,Lupus Erythematosus,Drug Eruption,Erythema Annulare Centrifugum
Lymphadenoma,Nests of clear to pale cells surrounded by one to two layers of basaloid cells in dermis. Scattered lymphocytes admixed with nests as well as scattered in the surrounding stroma.,Lymphoepithelioma Like Carcinoma,Trichoepithelioma,Nodular Basal Cell Carcinma,
Lymphangiectasis,Dilated lymphatics in predominantly superficial dermis with clear fluid in lumen. Overlying epidermis may show acanthosis and hyperkeratosis.,Angiokeratoma,Venous Lake,Cavernous Hemangioma,
Lymphangioma,Dilated lymphatics at all levels of the dermis lined by a discontinuous flattened layer of endothelial cells and containing clear fluid.,Angiokeratoma,Mimangiomacrovenular He,Cavernous Hemangioma,
Lymphoepithelioma Like Carcinoma,"Nodular aggregates of atypical epithelial cells surrounded by dense lymphocytic infiltrate, mimicking a lymphoid nodule. Epithelial cells  show large vesicular nuclei, prominent nucleolus and moderate to abundant vacuolated cytoplasm. Frequent mitotic figures are seen. Cells positive with cytokeratin and EMA.",Squamous Cell Carcinoma,Neuroendocrine Carcinoma,Malignant Anexal Neoplasm,Carcinosarcoma
Lymphogranuloma Venerum,"Epidermal ulceration with underlying diffuse dermal infiltrate of neutrophils, histiocytes and plasma cells. Granulomatous inflammation may be seen with multinucleated giant cells.",Chancroid,Granuloma Inguinale,Syphilitic Chancre,Herpes
Lymphoma,"Atypical lymphocytic infiltrate, either T cell or B cell type.",Melanoma,Ewing Sarcoma-Primitive Neuroectodermal Tumor,Neuroendocrine Carcinoma,
Lymphomatoid Granulomatosis,"Angiocentric and angiodestructive infiltrate in dermis of large atypical lymphoid cells, predominantly in a perivascular pattern. Areas of necrosis common with foci of granulomatous inflammation. Benign reactive T cells constitute majority of the cells. Admixed atypical large B cells are EBV +.",NK-T Cell Lymphoma,Wegener's Granulomatosis,"Peripheral T Cell Lymphoma, Not Otherwise Specified",Angioimmunoblastic T Cell Lymphoma
Lymphomatoid Papulosis,"Prominent dermal infiltrate of small lymphocytes, neutrophils, eosinophils and plasma cells with large atypical CD30+ T lymphocytes. Type A- wedge shaped infiltrate with prominent mixed inflammatory infiltrate and scattered clusters of large CD30 + cells. Type B-Looks like MF. Type C- Diffuse sheets of large CD30+ cells with minimal admixed chronic inflammatory cells.",Primary Cutaneous Anaplastic Large Cell Lymphoma,Pityriasis Lichenoides Et Varioliformis Et Acuta,Arthropod Bite,"Mycosis Fungoides, Tumor Stage"
Majocchi's Granuloma,Hyphae and spores within hair follicle. Suppurative folliculitis with foreign body reaction in stroma.,Fungal Folliculitis,Pseudomonas Folliculitis,Suppurative Folliculitis,Herpetic Folliculitis
Malignant Granular Cell Tumor,"Background of granular cell tumor. Focal areas of necrosis, spindling and vascular invasion may be seen. Nuclei are larger and often show large nucleolus. Mitosis greater than 2 per 10 high power fields. Increased proliferation index by KI67.",Granular Cell Tumor,Melanoma,Rhabdoid Tumor,
"Malignant Melanoma, Lentigo Maligna Type","Proliferation of atypical melanocytes at DEJ as confluent proliferation of single cells and nests. Extension along adnexal structures. Pagetoid spread within epidermis throughout the lesion. Eosinophilic stroma displaces solar elastosis. Multinucleated melanocytes with peripheral rim of nuclei(starburst pattern) may be present. Underlying solar elastosis, variable infiltrate of lymphocytes and melanophages.","Malignant Melanoma, Superficial Spreading Type",Lentigo Maligna,Lichenoid Regression Of Lentigo Maligna,
"Malignant Melanoma, Superficial Spreading Type",Significant pagetoid spread within the epidermis. Contiguous proliferation of single cells and nests at DEJ. Severe cytological atypia of melanocytes. ,"Malignant Melanoma, Lentigo Maligna Type",Dysplastic Nevus with Moderate Atypia,Dyspasctic Nevus With Severe Atypia,
Malignant Mixed Tumor,"Large, asymmetric, poorly circumscribed , lobulated biphasic tumor in dermis and/or subcutis. Epithelial component predominant at periphery with central mesenchymal chondromyxoid component. Epithelial component shows cords, nest and tubules of variable size with cytologic atypia; atypical mitosis. Zones of necrosis common. Infiltrative tumor margins and satellite tumor nodules often present.",Hidradenocarcinoma,Spiradenocarcinoma,Moderately Differentiated Squamous Cell Carcinoma,Extraskeletal Chondrosarcoma
Malignant Peripheral Nerve Sheath Tumor,Poorly circumscribed spindle cell proliferation with wavy nuclei. Cellular areas alternating with hypocellular myxoid zones. Increased cellularity adjacent to blood vessels. Heterologous elements may be present. Areas of geographic necrosis common. High mitotic activity often present.25 percent cells show positivity for  S100.,Leiomyosarcoma,Synovial Sarcoma,Myxofibrosarcoma,Fibrosarcoma
Malignant Proliferating Pilar Tumor,"Background of proliferating pilar tumor. Malignant areas shows areas of severe nuclear atypia, infiltration into surrounding stroma, atypical mitosis.",Well Differentiated Squamous Cell Cacinoma,Syringoid Eccrine Carcinoma,"Metastatic Squamous Cell Carcinoma , Skin Primary",
Malokoplakia,"Diffuse infiltrate of macrophages with small eccentric nuclei. Macrophages conation intracytoplasmic eosinophilic granules (Von Hansemann cells), along with large(5-15microns) basophilic ovoid structures. Inclusions positive with PAS, Von-Kossa and Iron stains.",Rhinoscleroma,Granuloma Inguinale,Histoplasma Capsulatum,"Diffuse Large B Cell Lymphoma, Leg Type"
Marine Animal Stings (Jellyfish Stings),Nematocysts in stratum corneum. Thinning of malphigian layer with pyknosis of some nuclei.,Allergic Contact Dermatitis,Cutaneous Larva Migrans,Arthropod Bite,
Median Raphe Cyst,Debris-filled cyst lined by pseudostratified columnar epithelium. May have admixed mucin secreting cells.,Cutaneous Ciliated Cyst,Epidermal Inclusion Cyst,Pilar Cyst,
Medullary Thyroid Carcinoma,Solid sheets and nests of round to oval cells with stippled chromatin separated by a heavily hyalinized fibrovascular stroma.Amyloid deposition is common. Cells stain with calcitonin and TTF1. Negative for thyroglobulin.,Neuroendocrine Carcinoma,Round Cell Liposarcoma,Squamous Cell Carcinoma,
Melanoacanthoma,Acanthotic epidermis composed of small keratinocytes and pigmented dendritic melanocytes. No atypia noted.,Seborrheic Keratosis,Superficial Spreading Melanoma In Situ,Hidroacanthoma Simplex ,Verruca Vulgaris
Melanoma Arising In Cellular Blue Nevus,"Background lesion of a blue nevus. Fascicular aggregates of spindle to epithelioid cells with little intervening stroma. Variable degree of melanin pigment scattered throughout the lesion. Cytological atypia in the form of pleomorphism, hyperchromasia, atypical mitosis. Focal necrosis.",Cellular Blue Nevus,Deep Penetrating Nevus,Epithelioid Blue Nevus,
Melanoma In Situ Of Nail,Lentiginous confluent melanocytic proliferation with significant pagetoid spread. ,Junctional Nevus,Onychomycosis,Psoriasis Of Nail,Lichen Planus Involving Nail
Melanotic  Neuroectodermal Tumor Of Infancy,"Cellular nests of undifferentiated round cells in center and large epithelioid finely pigmented cells at periphery. Separated by fibrous septa with prominent thick vessels. Small cells are positive for neuroendocrine markers. Larger cells are HMB45 positive, S100 negative.",Neuroblastoma,Ewing Sarcoma-Primitive Neuroectodermal Tumor,Lymphoma,
Melanotic Macule,Increased basilar pigmentation with no/minimal increase in melanocytes showing dendritic morphology. Scattered melanophages in stroma.,Post Inflammatory Pigment Alteration,Lichen Planus,Junctional Nevus,Macular Amyloidosis
Melanotic Macule-Lentigo,Increased basilar pigmentation with no/minimal increase in melanocytes showing dendritic morphology. Scattered melanophages in stroma.,Post Inflammatory Pigment Alteration,Lichen Planus,Junctional Nevus,Macular Amyloidosis
Melasma,"Increased melanin pigment in epidermis, dermis or both. Pigment incontinence in dermis.",Post Inflammatory Pigment Alteration,Lentigo Maligna,Cafe-Au-Lait Spots,
Melkersson-Rosenthal Syndrome,Dermal edema. Perivascular and interstitial chronic inflammation composed of lymphocytes and plasma cells. Poorly formed tuberculoid granulomas close to and impinging on dilated lymphatics may be seen.,Sarcoidosis,Granulomatous Rosacea,Crohn's Disease,Lupus Miliaris  Disseminatus Faciei
Meningioma,Proliferation of whorls in syncytially arranged meningothelial cells. Scattered psammoma bodies. Vimentin and EMA positive.,Cellular Neurothekeoma,Giant Cell Fibroblastoma,Cellular Dermatofibroma,
Meningococcemia,Acute cases-vasculitis and vasculopathy with associated necrosis and hemorrhage. Gram negative diplocooci may be seen in and around vessels. Chronic cases- Perivascular lymphocytic infiltrate with neutrophils. Gram negative diplococci in vessels.,Gonococcemia,Rocky Mountain Spotted Fever,Viral Exanthem,Leukocytoclastic Vasculitis
Mercury,Black granules either free or in macrophages.  Hold slide up to the light to see them shine.,Argyria,Post Inflammatory Pigment Alteration,Chrysiasis,
Merkel Cell Carcinoma,Diffuse dermal proliferation of round blue cells with often washed out nuclei and scant cytoplasm. Large number of atypical mitosis and apoptosis common. Paranuclear dot like staining with CK20 characteristic.,Neuroendocrine Carcinoma,Metastatic Small Cell Carcinoma Of Lung,Ewing Sarcoma-Primitive Neuroectodermal Tumor,"Diffuse Large B Cell Lymphoma, Leg Type"
Mesenchymal Chondrosarcoma,Round cell tumor characterized by primitive small round or slightly spindled cells in a hemangiopericytoma like growth pattern around dilated vessels with stag horn appearance. Abrupt transition to well-differentiated hyaline cartilage.,Myxoid Liposarcoma,Extraskeletal Chondrosarcoma,Desmoplastic Small Round Cell Tumor,
Mesothelioma,"Infiltrating epithelioid and papillary neoplasm forming glandular structures in the dermis and subcutaneous tissue. Cells stain positively for CK5/6, CK 5/6, calretinin, WT1 and inhibin. ",Lung Adenocarcinoma,Breast Adenocarcinoma,Metastatic Adnexal Neoplasm,
Metaplastic Synovial Cyst,Cystic/solid structure with villous projections resembling hyperplastic synovium. Cells positive for vimentin and CD68.,Digital Mucous Cyst,Epidermal Inclusion Cyst,Eccrine Hidrocystoma,
Metastatic Adnexal Neoplasm,"Glandular elements in dermis with atypia.Staining  with CK7, p63 and CK5/6.CK20 negative.",Breast Adenocarcinoma,Lung Adenocarcinoma,Syringoid Eccrine Carcinoma,
Metastatic Melanoma,Nodules within dermis either with Grenz zone or with epidermotropism. Epidermal collarette may be seen. Areas of necrosis common.,Metastatic Adnexal Neoplasm,Metastatic Small Cell Carcinoma Of Lung,"Metastatic Squamous Cell Carcinoma , Skin Primary",
Metastatic Small Cell Carcinoma Of Lung,Dense infiltrate in dermis of round blue cells with hyperchromatic nuclei and scant cytoplasm in cords and nodules. Increased number of atypical mitosis. Cells are TTF1 positive and CK20 negative.,Neuroendocrine Carcinoma,Metastatic Melanoma,Lymphoma,
"Metastatic Squamous Cell Carcinoma , Skin Primary",Nests of squamous cell carcinoma not connected to epidermis. No significant epidermal atypia.,Squamous Cell Carcinoma,Hidradenocarcinoma,Porocarcinoma,Metastatic Adnexal Neoplasm
"Metastatic Squamous Cell Carcinoma, Secondary",Nests of squamous cell carcinoma not connected to epidermis. No significant epidermal atypia.,Squamous Cell Carcinoma,Hidradenocarcinoma,Porocarcinoma,Metastatic Adnexal Neoplasm
Metatypical Basal Cell Carcinoma,Combined features of basal  cell and squamous cell carcinoma.,Well Differentiated Squamous Cell Cacinoma,"Metastatic Squamous Cell Carcinoma Skin, Primary",Micronodular Basal Cell Carcinoma,
Meyersons Nevus,Nevus with superimposed changes of spongiotic dermatitis.,Allergic Contact Dermatitis,Compound Nevus,Benign Lichenoid Keratosis,
Mibelli's Angiokeratoma,Lesion common on fingers and toes. Acanthotic epidermis with hyperkeratosis. Intermixed dilated vessels surrounded by the epidermis giving appearance of intraepidermal vessels.,Verrucous Hemangioma,Lymphangioma,Venous Lake,Cavernous Hemangioma
Microcystic Adnexal Carcinoma,"Infiltrative, poorly circumscribed eccrine neoplasm with focal pilar differentiation. Stratified growth pattern with microcyst in upper portion and smaller nests and single cells at base. Nests of squamoid cells with minimal cytologic atypia and duct formation in a sclerotic stroma. Frequent perineural invasion.",Desmoplastic Trichopethelioma,Infiltrative Basal Cell Carcinoma,Papillary Eccrine Carcinoma,Syringoma
Micronodular Basal Cell Carcinoma,Basaloid neoplasm with small nodules of basaloid cells in reticular dermis. Nodules show peripheral palisading and  clefting along with mitosis and apoptotic figures. Fibromyxoid stroma. ,Trichoepithelioma,Spiradenoma,Trichoblastoma,
Microscopic Polyangiitis,"Acute neutrophilic vasculitis with variable leukocytoclasis and fibrinoid necrosis of capillaries, venules and arterioles.",Wegener's Granulomatosis,Polyarteritis Nodosa,Churg-Strauss Syndrome,
Mid Dermal Elastolysis,"Normal appearing skin. Mid-dermal loss of elastic fibers, best seen with VVG stain. Occasionally, neutrophils or macrophages with elastic fiber phagocytosis noted. ",Cutis Laxa,Anetoderma,Pseudoxanthoma Elasticum,
